IDs_height_cut
BONA.01450
BONA.03044
BONA.03037
BONA.03039
BONA.03056
BONA.03032
BONA.03038
BONA.03593
BONA.01486
BONA.03599
BONA.03587
CLBJ.00946
CLBJ.00988
CLBJ.00943
CLBJ.02682
CLBJ.01016
CLBJ.00604
CLBJ.02687
CLBJ.00088
CLBJ.00091
CLBJ.00057
CLBJ.00133
CLBJ.01030
CLBJ.02012
CLBJ.01537
CLBJ.01550
CLBJ.01505
CLBJ.02282
CLBJ.01511
CLBJ.02138
CLBJ.02184
CLBJ.02177
CLBJ.01604
CLBJ.01626
CLBJ.01009
CLBJ.02536
CLBJ.02580
CLBJ.01002
CLBJ.02539
CLBJ.02432
CLBJ.02447
CLBJ.01771
CLBJ.01777
DEJU.03621
DEJU.03328
DEJU.03231
DEJU.03236
DEJU.03138
DEJU.02410
DEJU.02404
DEJU.02409
DEJU.03952
DEJU.03403
DEJU.03949
DEJU.03563
DEJU.00413
DEJU.00301
DEJU.02925
DEJU.00775
DELA.05560
DELA.09055
DELA.09459
DELA.09455
DELA.09414
DELA.05326
DELA.05304
DELA.05306
DELA.05187
DELA.05186
DELA.05192
DELA.09280
DELA.05791
DELA.05794
DELA.05241
DELA.12552
DELA.04948
DELA.04943
DELA.12839
DELA.04982
DELA.04151
DELA.04146
DELA.04551
DELA.04528
DELA.04697
DELA.04692
DELA.04432
DELA.09665
DELA.04470
DELA.04446
DELA.03841
DELA.09158
DELA.04086
DELA.04082
DELA.03583
DELA.03602
DSNY.00201Z
DSNY.00003
DSNY.00629
DSNY.01120Z
DSNY.00193
GRSM.02463
GRSM.02465
GRSM.03282
GRSM.03305
GRSM.02637
GRSM.02631
GRSM.02661
GRSM.02305
GRSM.02274
GRSM.03339
GRSM.03354
GRSM.03322
GRSM.03401
GRSM.03390
GRSM.08001Z
GRSM.08002Z
GRSM.02579
GRSM.02760
GRSM.02763
GRSM.02983
GRSM.02896
GRSM.02984
GRSM.02771
GRSM.02867
GRSM.02877
GRSM.01620
GRSM.01914
GRSM.01924
GRSM.00745
GRSM.00753
GRSM.00731
GRSM.00351
GRSM.00369
GRSM.00389
GRSM.01901
GRSM.08003Z
GRSM.01896
GUAN.04562
GUAN.04566
GUAN.08869Z
GUAN.01580
GUAN.01942
GUAN.01945
GUAN.08877Z
GUAN.02069
GUAN.02073
GUAN.04334
GUAN.04332
GUAN.08788Z
GUAN.04171
GUAN.04227
GUAN.04232
GUAN.04234
GUAN.02790
GUAN.02440
GUAN.08856Z
GUAN.04354
GUAN.04695
GUAN.08786Z
GUAN.02995
GUAN.02692
GUAN.02699
GUAN.00065
GUAN.00138
GUAN.00045
GUAN.03369
GUAN.05593
GUAN.03365
GUAN.01211
GUAN.08289
HARV.01059
HARV.01053
HARV.01054
HARV.03223
HARV.03230
HARV.03231
HARV.01928
HARV.01913
HARV.01937
HARV.01559
HARV.01532
HARV.01545
HARV.01176
HARV.01779
HARV.01163
HARV.01397
HARV.01660
HARV.01650
HARV.01135
HARV.01137
HARV.01146
HARV.02829
HARV.05565
HARV.02549
HARV.01422
HARV.01226
HARV.01410
HARV.05625
HARV.05632
HARV.05643
HARV.05399
HARV.05483
HARV.05459
HARV.04568
HARV.04552
HARV.05181
HARV.05186
HARV.05180
LENO.01188Z
LENO.00977
LENO.01187Z
LENO.00016
LENO.00025
LENO.00079
LENO.00079
LENO.11700Z
LENO.01203Z
LENO.00178
LENO.00190
LENO.11698Z
LENO.00652
LENO.00647
LENO.00667
LENO.00799
LENO.00773
LENO.00752
LENO.01206
LENO.11697Z
LENO.01202
LENO.00256
LENO.11699Z
LENO.00240
LENO.00631
LENO.01186Z
LENO.01189Z
LENO.08852
LENO.14643
LENO.01190Z
LENO.08763
LENO.01191Z
LENO.08527
LENO.08530
LENO.08458
LENO.08425
LENO.08444
MLBS.01661
MLBS.01640
MLBS.01655
MLBS.01538
MLBS.01538
MLBS.01493
MLBS.01546
MLBS.01539
MLBS.01566
MLBS.01758
MLBS.01772
MLBS.01730
MLBS.01711
MLBS.01718
MLBS.01685
MLBS.01890
MLBS.01881
MLBS.01886
MLBS.01833
MLBS.01848
MLBS.01866
MLBS.01798
MLBS.01785
MLBS.01777
MLBS.01489
MLBS.01486
MLBS.01455
MLBS.01568
MLBS.01610A
MLBS.01584
MLBS.00183
MLBS.00133
MLBS.00197
MLBS.01030
MLBS.01022
MLBS.01019
MLBS.00042
MLBS.00078
MLBS.00061
MLBS.00863
MLBS.00884
MLBS.00951
MOAB.00656
MOAB.00518
NIWO.01972
NIWO.01992
NIWO.01100
NIWO.01098
NIWO.01201
NIWO.01208
NIWO.01205
NIWO.01512
NIWO.01515
NIWO.01726
NIWO.01162
NIWO.01161
NIWO.00283
ORNL.01581
ORNL.01563
ORNL.01558
ORNL.00930
ORNL.00919
ORNL.00951
ORNL.00789
ORNL.08004Z
ORNL.00971
ORNL.00997
ORNL.00994
ORNL.01907
ORNL.01860
ORNL.01875
ORNL.02487
ORNL.02493
ORNL.02477
ORNL.01198
ORNL.01158
ORNL.01544
ORNL.01527
ORNL.01487
ORNL.02562
ORNL.02647
ORNL.02648
ORNL.08006Z
ORNL.08005Z
ORNL.04841
ORNL.04078
ORNL.04093
ORNL.09388
ORNL.09278
ORNL.09396
SCBI.00011
SCBI.00003
SCBI.13005
SCBI.01594
SCBI.13018
SCBI.13019
SCBI.13002
SCBI.01151
SCBI.13001
SCBI.00279
SCBI.13003
SCBI.13004
SCBI.13017
SCBI.01630
SCBI.01655
SCBI.01103
SCBI.13011
SCBI.13012
SCBI.01925
SCBI.01917
SCBI.13013
SCBI.01758
SCBI.13014
SCBI.01496
SCBI.13010Z
SCBI.01531
SCBI.03296
SCBI.03301
SCBI.02267
SCBI.02256
SCBI.13015
SCBI.02549
SCBI.02574
SCBI.02577
SCBI.02369
SCBI.02392
SERC.13192
SERC.12785
SERC.12792
SERC.11271
SERC.11273
SERC.11313
SERC.13195
SERC.13196
SERC.12864
SERC.13198
SERC.12871
SERC.13197
SERC.11409
SERC.11405
SERC.11491
SERC.11496
SERC.11495
SERC.09571
SERC.09556
SERC.13193
SERC.08010
SERC.08020
SERC.13200
SERC.09660
SERC.13199
SERC.09843
SERC.09839
SERC.09827
SOAP.08300
SOAP.08295
SOAP.08299
SOAP.08284
SOAP.08285
SOAP.08286
SOAP.08287
SOAP.03494
SOAP.03512
SOAP.03497
SOAP.00302
SOAP.03857
STEI.02147
STEI.01538
STEI.02177
STEI.02111
STEI.02103
STEI.03444
STEI.03471
STEI.05483
STEI.05482
STEI.05479
STEI.03709
STEI.03705
STEI.03752
STEI.05150
STEI.05168
