individualID,plotID,siteID,taxonID,plntStt,ntrgnPr,crbnPrc,CNratio,extrCAC,extrCBC,extrcCC,lgnnPrc,clllsPr,lfMssPA,dryMssF,geometry,elevation,stemDiameter,height
SERC.11495,SERC_009,SERC,LITU,OK,1.9,47.1,24.4,4.41,1.86,1,15.13,15.56,69.7,0.337,"list(c(-76.561225037987, -76.5612246995435, -76.561234178607, -76.5612395907124, -76.5612502457018, -76.5612645087637, -76.5612712660219, -76.5612786112457, -76.5612724104434, -76.561269688635, -76.5612603386408, -76.5612512381619, -76.5612415898668, -76.5612296786471, -76.5612230103149, -76.5612164222805, -76.5612102529883, -76.5612028676238, -76.5611944354076, -76.5611878072276, -76.5611803817159, -76.5611727869855, -76.5611789075048, -76.5611912776096, -76.561205033006, -76.5612131267766, -76.561225037987, 
38.8976201077642, 38.8976142283745, 38.8976141388039, 38.8976171063593, 38.8976201017746, 38.8976250755586, 38.8976340677942, 38.8976446025226, 38.8976582839522, 38.8976673657607, 38.8976740333235, 38.8976763639899, 38.8976735138671, 38.8976747100549, 38.8976759341028, 38.89766988156, 38.8976624318156, 38.897655535379, 38.8976521319448, 38.8976497176957, 38.8976464595531, 38.8976402617152, 38.8976338568807, 38.8976276252008, 38.8976237799064, 38.8976213039506, 38.8976201077642))",22.9,76.8,40.4
SERC.11271,SERC_002,SERC,LITU,Disease damaged,1.4,49.8,34.4,4.84,4.53,0.32,15.58,15.16,82.4,0.359,"list(c(-76.5589623851177, -76.5589657433375, -76.5589742154184, -76.5589797077804, -76.5589723229067, -76.5589719444045, -76.5589903542701, -76.5590032315042, -76.5590145141859, -76.5590266827252, -76.5590372164462, -76.5590460267654, -76.5590467032401, -76.5590421370081, -76.5590391653301, -76.5590301939324, -76.559011824317, -76.559003601885, -76.558995298913, -76.5589815035728, -76.558973369714, -76.5589700114896, -76.5589618293317, -76.5589494997001, -76.5589376291164, -76.5589213131014, -76.558916907944, 
-76.5589129618376, -76.5589059957405, -76.5589000363089, -76.5588944553786, -76.5588921038278, -76.5588933601553, -76.5588960419218, -76.5589021624533, -76.5589066481572, -76.5589163765641, -76.5589280780218, -76.558940826416, -76.5589623851177, 38.8950858181004, 38.8950921334715, 38.895091898747, 38.8950875897689, 38.8950806931579, 38.8950784520401, 38.8950730923712, 38.8950756800022, 38.8950765798073, 38.89508853989, 38.89510245047, 38.8951080951814, 38.8951198540623, 38.8951315849979, 38.8951450037577, 
38.8951539123369, 38.8951556336879, 38.8951515314896, 38.8951547059361, 38.8951621893601, 38.8951683035252, 38.8951619881549, 38.8951542476314, 38.8951568408346, 38.8951543985091, 38.8951527721459, 38.8951499497864, 38.8951420918991, 38.8951337980801, 38.8951256495713, 38.89511974218, 38.895113572118, 38.8951093805033, 38.8951039369944, 38.8950975322121, 38.8950930779265, 38.8950886515906, 38.8950881541978, 38.8950841637911, 38.8950858181004))",8.3,60.5,33.2
SERC.11273,SERC_002,SERC,QUAL,OK,1.9,47.9,25.6,4.22,2.08,0.62,11.12,15.24,81.3,0.508,"list(c(-76.5589640443022, -76.558977879872, -76.5589827440621, -76.558990249733, -76.5590003566135, -76.559010841996, -76.5590178886234, -76.5590262398781, -76.5590361856866, -76.5590444080966, -76.5590591295156, -76.5590668043035, -76.5590774185443, -76.5590779259035, -76.5590826692962, -76.5590862369079, -76.5590817109574, -76.5590799956071, -76.5590794963045, -76.5590848275917, -76.5590806801442, -76.5590705329843, -76.5590519137474, -76.5590377801993, -76.5590290987376, -76.5590154725399, -76.5590067105367, 
-76.5589921582095, -76.5589800782523, -76.5589744973194, -76.5589643018471, -76.5589565384768, -76.5589525923717, -76.5589475993321, -76.5589402547409, -76.5589351328635, -76.5589298418746, -76.5589309693582, -76.558938136811, -76.5589513845031, -76.5589573359022, -76.5589640443022, 38.8949541398586, 38.8949430181106, 38.8949408049398, 38.8949367865804, 38.8949346013559, 38.8949346572486, 38.8949356744171, 38.8949463546603, 38.8949587227278, 38.8949628249252, 38.8949627634497, 38.894961684807, 38.8949683187392, 
38.8949771379013, 38.8949858396976, 38.8949914564638, 38.8949995490794, 38.8950087762255, 38.8950174500779, 38.8950276943885, 38.8950380281214, 38.8950438516748, 38.8950499099574, 38.8950515139473, 38.8950524472785, 38.8950628704273, 38.8950710804033, 38.8950740815937, 38.8950723378742, 38.8950664304858, 38.8950583993414, 38.8950492616113, 38.8950414037242, 38.8950370388498, 38.8950265039133, 38.8950155609944, 38.8950016783544, 38.8949909086945, 38.8949810108966, 38.8949683466361, 38.8949590021293, 
38.8949541398586))",8.3,88.2,31.7
SERC.09571,SERC_044,SERC,ACRU,OK,1.4,46.5,34.2,4.22,2.26,0.81,8.81,13.01,62.8,0.456,"list(c(-76.5539173722761, -76.5539094242302, -76.5539088162182, -76.5539092148013, -76.5539119204431, -76.5539112921565, -76.5539111063435, -76.5539091370434, -76.5539052592668, -76.5538973956583, -76.5538910419428, -76.5538825094957, -76.553878358124, -76.5538721496738, -76.5538743925695, -76.5538778109384, -76.5538754194404, -76.5538722307767, -76.5538768651699, -76.5538845193488, -76.5538782906236, -76.5538716835917, -76.5538718288578, -76.5538769868234, -76.5538835499668, -76.5538904069784, -76.553894075326, 
-76.5538978686627, -76.5539065699839, -76.5539137005883, -76.5539173722761, 38.8907882839806, 38.8907867718826, 38.8907870485103, 38.8907874704875, 38.8907889544433, 38.8907910502581, 38.8907986763087, 38.8908034938684, 38.8908076714266, 38.8908076292126, 38.8908078050225, 38.8908134969962, 38.8908150840869, 38.8908112722195, 38.8908090451271, 38.8908099031535, 38.8908073712898, 38.8908039954714, 38.8908043002428, 38.8908050410629, 38.8908030483827, 38.8907988145379, 38.8907948268615, 38.8907933851206, 
38.8907925107065, 38.8907924075717, 38.8907889286187, 38.8907832811761, 38.8907805289705, 38.8907830163013, 38.8907882839806))",10.73,21.4,16.6
SERC.13193,SERC_044,SERC,LITU,OK,2.7,48.9,18.4,6.94,2.6,1.56,10.88,13.55,55.1,0.317,"list(c(-76.5541834614556, -76.5541824143279, -76.5541801511811, -76.5541791884988, -76.5541820191212, -76.5541887072262, -76.5541936354813, -76.5541894435936, -76.5541852314381, -76.5541800329551, -76.5541761349364, -76.5541765132532, -76.5541762430256, -76.5541799147289, -76.5541764355605, -76.5541671465197, -76.5541629951624, -76.5541608367256, -76.5541608401, -76.5541615561977, -76.55415342237, -76.5541445927133, -76.5541382153673, -76.5541371648649, -76.5541337025903, -76.5541262983844, -76.5541213498582, 
-76.5541141179103, -76.5541104259424, -76.5541064806428, -76.5541037310952, -76.5541075244079, -76.5541078588167, -76.554107291345, -76.5541112535449, -76.554116117625, -76.5541207722785, -76.55412469394, -76.5541282170179, -76.5541244203381, -76.5541188401666, -76.554120809447, -76.5541227989959, -76.55412938239, -76.5541365737933, -76.554141164268, -76.5541464269283, -76.5541514396266, -76.554154104732, -76.5541610461728, -76.5541694535936, -76.554177526608, -76.5541834614556, 38.890641579451, 
38.8906450724785, 38.8906491187639, 38.890654081676, 38.8906533971365, 38.8906503542174, 38.8906514302572, 38.8906566557326, 38.8906637003952, 38.8906687805228, 38.8906747772768, 38.8906770184407, 38.8906831746082, 38.8906884422811, 38.8906930418242, 38.890694251489, 38.8906958385886, 38.8906995355707, 38.8907082822045, 38.8907164029067, 38.8907225168745, 38.8907186909525, 38.8907119393274, 38.8907066857204, 38.8907007194412, 38.8906956416549, 38.8906963848, 38.8907029934163, 38.890699544929, 38.8906916867877, 
38.8906850945762, 38.890679447127, 38.8906765800316, 38.8906732182855, 38.8906705106055, 38.890668297576, 38.8906667831517, 38.8906677138461, 38.8906682225638, 38.8906651233794, 38.8906592157063, 38.8906543981426, 38.8906477613914, 38.8906450677779, 38.8906420975352, 38.8906372940379, 38.8906355029839, 38.89063804891, 38.8906431712362, 38.8906445379726, 38.8906410144703, 38.8906403580633, 38.890641579451))",6.81,NA,NA
SERC.12785,SERC_001,SERC,LIST2,OK,1.6,46.7,29.3,4.46,3.71,0.18,13.78,16.07,68,0.353,"list(c(-76.5335724286817, -76.5335769559347, -76.53358160944, -76.5335912522757, -76.5335980444316, -76.5335914214678, -76.5335845043345, -76.5335713404387, -76.5335593923108, -76.5335466892154, -76.5335396874886, -76.5335395612393, -76.5335418665297, -76.5335471487525, -76.5335560366232, -76.5335683622304, -76.5335724286817, 38.8686157226909, 38.8686076306671, 38.8686061169173, 38.8686089691056, 38.8686143246326, 38.8686294025132, 38.8686349622752, 38.8686403476117, 38.8686451798633, 38.8686455295966, 
38.8686408726528, 38.868634294379, 38.868626609938, 38.8686230004328, 38.8686213701062, 38.8686187791134, 38.8686157226909))",10.8,36,24.6
SERC.13192,SERC_001,SERC,ACRU,OK,1.8,46.5,25.7,6.51,3.51,0.89,8.66,11.61,68.6,0.502,"list(c(-76.5335441642194, -76.5335515434153, -76.5335565327372, -76.5335616899711, -76.5335678534029, -76.5335661768325, -76.5335663030843, -76.5335692800156, -76.5335756946809, -76.5335865116192, -76.5335916272012, -76.5335901185446, -76.5335830335034, -76.5335729715285, -76.5335679822009, -76.5335597230505, -76.5335490323622, -76.5335435822322, -76.5335346527049, -76.5335293704843, -76.5335164161647, -76.5334940702486, -76.5334850978007, -76.533478305657, -76.5334717230868, -76.5334589354294, -76.533445224912, 
-76.5334455178175, -76.5334463977741, -76.5334527278569, -76.5334596449897, -76.533465346353, -76.5334770848919, -76.5334897879615, -76.5335000594948, -76.5335214408489, -76.5335271005447, -76.5335371625067, -76.5335441642194, 38.8685139641093, 38.8685208623126, 38.8685252282526, 38.868532534037, 38.8685399853231, 38.8685455740084, 38.868552152283, 38.8685562272186, 38.8685593414884, 38.8685652790233, 38.8685762232362, 38.8685847517658, 38.8685873716839, 38.8685859166662, 38.8685815507271, 38.8685810852977, 
38.8685817260351, 38.8685823956962, 38.8685876644521, 38.868591273957, 38.868595960703, 38.8685934582378, 38.8685848718562, 38.8685795163233, 38.8685734622047, 38.8685635952253, 38.8685463058817, 38.8685383304359, 38.8685318976638, 38.8685247952343, 38.8685192354781, 38.8685142288044, 38.8685100951458, 38.8685097454189, 38.8685105018573, 38.8685092203893, 38.8685078521433, 38.8685093071645, 38.8685139641093))",1.93,NA,NA
SERC.13192,SERC_001,SERC,ACRU,OK,1.9,48.7,25.9,6.51,3.51,0.89,8.66,11.61,68.6,0.502,"list(c(-76.5335441642194, -76.5335515434153, -76.5335565327372, -76.5335616899711, -76.5335678534029, -76.5335661768325, -76.5335663030843, -76.5335692800156, -76.5335756946809, -76.5335865116192, -76.5335916272012, -76.5335901185446, -76.5335830335034, -76.5335729715285, -76.5335679822009, -76.5335597230505, -76.5335490323622, -76.5335435822322, -76.5335346527049, -76.5335293704843, -76.5335164161647, -76.5334940702486, -76.5334850978007, -76.533478305657, -76.5334717230868, -76.5334589354294, -76.533445224912, 
-76.5334455178175, -76.5334463977741, -76.5334527278569, -76.5334596449897, -76.533465346353, -76.5334770848919, -76.5334897879615, -76.5335000594948, -76.5335214408489, -76.5335271005447, -76.5335371625067, -76.5335441642194, 38.8685139641093, 38.8685208623126, 38.8685252282526, 38.868532534037, 38.8685399853231, 38.8685455740084, 38.868552152283, 38.8685562272186, 38.8685593414884, 38.8685652790233, 38.8685762232362, 38.8685847517658, 38.8685873716839, 38.8685859166662, 38.8685815507271, 38.8685810852977, 
38.8685817260351, 38.8685823956962, 38.8685876644521, 38.868591273957, 38.868595960703, 38.8685934582378, 38.8685848718562, 38.8685795163233, 38.8685734622047, 38.8685635952253, 38.8685463058817, 38.8685383304359, 38.8685318976638, 38.8685247952343, 38.8685192354781, 38.8685142288044, 38.8685100951458, 38.8685097454189, 38.8685105018573, 38.8685092203893, 38.8685078521433, 38.8685093071645, 38.8685139641093))",1.93,NA,NA
SERC.12792,SERC_001,SERC,LITU,OK,2,50.1,24.5,4.85,2.46,0.79,12.41,12.2,63.3,0.333,"list(c(-76.5334625535221, -76.5334479642491, -76.5334331653998, -76.5334189535999, -76.5334085570222, -76.5333925840581, -76.5333751428515, -76.5333722492639, -76.5333643246799, -76.5333628564426, -76.5333706535715, -76.5333826850671, -76.5333926624914, -76.533409683304, -76.5334268720183, -76.5334438094905, -76.5334568900744, -76.533460663631, -76.5334700135713, -76.5334721105471, -76.5334697635802, -76.5334645659213, -76.5334625535221, 38.8687405100326, 38.8687471470244, 38.8687544825999, 38.8687633608471, 
38.8687735196899, 38.868777769914, 38.8687694166726, 38.8687580648758, 38.8687459855623, 38.8687333820979, 38.8687213895779, 38.8687092804848, 38.8687005188136, 38.8686927756626, 38.8686879723536, 38.8686875060571, 38.8686893975921, 38.8686943166174, 38.868705144258, 38.8687156519656, 38.8687269748337, 38.8687408010377, 38.8687405100326))",10.8,68.3,30.4
SERC.08020,SERC_045,SERC,CATO6,Other damage,2.8,51.2,18.2,3.37,1.55,0.61,9.91,18.2,62.7,0.391,"list(c(-76.5587346385549, -76.5587468850706, -76.5587552748427, -76.5587606049792, -76.5587638416589, -76.5587607014705, -76.5587568044476, -76.5587506448928, -76.5587406285864, -76.5587298554442, -76.5587130838463, -76.5587015941472, -76.5586871253623, -76.5586795326961, -76.5586721896582, -76.5586690012274, -76.5586672379454, -76.5586654746636, -76.5586590978042, -76.5586510864507, -76.5586381313292, -76.5586255064009, -76.5586200072193, -76.5586233567765, -76.5586279624157, -76.5586318997293, 
-76.5586380592953, -76.5586464008314, -76.5586547020849, -76.5586646781111, -76.5586886236393, -76.5586930278661, -76.55870439671, -76.5587114016063, -76.5587188654734, -76.5587298559089, -76.5587346385549, 38.8809316403692, 38.8809363239558, 38.8809433660781, 38.880953610673, 38.8809708414761, 38.8809813207885, 38.8809873177449, 38.8809973611103, 38.8810097630115, 38.881017682556, 38.8810210917855, 38.8810208905524, 38.881016614951, 38.881010416762, 38.8809998815324, 38.8809965057852, 38.8809918781127, 
38.8809872504402, 38.8809804989453, 38.8809756979957, 38.8809803871019, 38.8809734623276, 38.8809602779286, 38.8809490999985, 38.8809337303442, 38.8809240949713, 38.8809140516102, 38.8809072386806, 38.8809040641704, 38.8808953006936, 38.8808994869011, 38.8809023093435, 38.880913425837, 38.880918081468, 38.8809177014371, 38.8809265767501, 38.8809316403692))",19.78,43,24.5
SERC.09827,SERC_049,SERC,QUAL,Other damage,1.7,48.3,28.3,3.62,2.3,0.47,10.31,15.97,72.2,0.491,"list(c(-76.5615804114113, -76.5615834510917, -76.5615846591138, -76.5615924196759, -76.5615999687254, -76.5616354091418, -76.5616388217049, -76.5616354702104, -76.5616313838695, -76.5616277707084, -76.561631706602, -76.5616335993253, -76.5616140529015, -76.5616083355018, -76.561596588889, -76.5615916063373, -76.5615787629133, -76.5615608867867, -76.5615516063795, -76.5615494018495, -76.5615394367571, -76.5615372823846, -76.561540895555, -76.5615510612645, -76.561566783002, -76.5615804114113, 38.8865740792793, 
38.8865726959727, 38.8865774255498, 38.8865821899363, 38.8865832796303, 38.8865920395551, 38.8866025535924, 38.8866093581305, 38.8866142345149, 38.8866219123218, 38.8866306798207, 38.8866418855114, 38.8866545517013, 38.8866473491249, 38.886638365201, 38.8866330907775, 38.886632147889, 38.8866304785356, 38.8866264058006, 38.8866206213384, 38.8866100724874, 38.8865997400639, 38.8865920622591, 38.8865844192657, 38.886575756197, 38.8865740792793))",3.47,61.7,30.4
SERC.09843,SERC_049,SERC,FAGR,OK,1.8,47.6,26.7,4.61,2.02,0.75,16.69,24.52,39,0.464,"list(c(-76.5614075005735, -76.5614052458913, -76.5614128451064, -76.561417978135, -76.5614185516346, -76.5614154007746, -76.5614200104654, -76.5614223654742, -76.5614250824773, -76.5614362948644, -76.5614493999368, -76.5614603615122, -76.5614693300767, -76.5614765672955, -76.5614845393568, -76.5614905184041, -76.5614984904689, -76.5615031611855, -76.5614985013428, -76.561470147671, -76.5614522213857, -76.5614346069295, -76.5614243300225, -76.5614075005735, 38.886621091915, 38.8866198554115, 38.8866163971547, 
38.886608027702, 38.8866017332035, 38.8865903458918, 38.8865837229763, 38.8865758635572, 38.8865580349465, 38.8865468988859, 38.886546968519, 38.8865585722633, 38.8865680662351, 38.8865745771661, 38.8865830162511, 38.8865893455645, 38.8865977846485, 38.8866084803057, 38.8866196511848, 38.8866310460385, 38.8866339246318, 38.8866313819931, 38.8866262543634, 38.886621091915))",5.61,37.7,18.1
DSNY.00824Z,DSNY_042,DSNY,SERE2,OK,1.06,49.17,46.4,3.29,0.76,1.17,16.77,39.06,215.2,0.464,"list(c(-81.4339578534753, -81.4339397089023, -81.4339401360417, -81.4339582806131, -81.4339578534753, 28.1222054683525, 28.1222044607873, 28.1221979107478, 28.122198918313, 28.1222054683525))",20.08,NA,NA
DSNY.03003Z,DSNY_042,DSNY,ILGL,OK,0.87,52.89,60.9,3.02,0.77,1.53,13.49,14.24,129.4,0.459,"list(c(-81.4340407786733, -81.4340204194281, -81.43401909333, -81.4340117259656, -81.4340113850729, -81.4340306697109, -81.4340315790594, -81.4340397248322, -81.4340407786733, 28.1221711972919, 28.1221692450404, 28.1221763402006, 28.1221773761897, 28.1221621412751, 28.1221613136801, 28.1221521835808, 28.1221512474851, 28.1221711972919))",20.08,NA,NA
DSNY.03002Z,DSNY_042,DSNY,MOCE2,OK,1.83,52.1,28.5,4.9,1.19,1.73,38.54,21.39,121.1,0.455,"list(c(-81.434000852133, -81.4339797144684, -81.4339773896231, -81.4339701428112, -81.433970569948, -81.4339803931025, -81.4339793839706, -81.4339994470245, -81.434000852133, 28.1222057025769, 28.1222036504234, 28.1221947657596, 28.1221951567315, 28.1221886066917, 28.1221872253764, 28.1221798305315, 28.1221791028371, 28.1222057025769))",20.08,NA,NA
DSNY.00003,DSNY_006,DSNY,PIPA2,OK,0.82,50.39,61.1,4.6,1.3,1.52,21.25,30.81,216.1,0.418,"list(c(-81.3994022430085, -81.3994195420646, -81.399431713272, -81.3994369019586, -81.3994338164495, -81.3994244990829, -81.3994148063791, -81.3994068855133, -81.3993956306345, -81.399386252434, -81.3993808760851, -81.3993765209075, -81.3993759799113, -81.3993788997665, -81.3993895088023, -81.3994022430085, 28.0929157556442, 28.0929159294652, 28.0929236537965, 28.0929356110069, 28.0929454769945, 28.0929555672343, 28.0929676617863, 28.092976905448, 28.0929775095312, 28.092968092047, 28.0929571369923, 
28.0929473396751, 28.0929370069448, 28.0929148039138, 28.0929110377802, 28.0929157556442))",20.67,29,14.1
DSNY.00201Z,DSNY_003,DSNY,PIEL,Physically damaged,1.04,50.87,49.1,4.61,1.52,1.56,31.84,31.4,369.2,0.398,"list(c(-81.4254483098907, -81.4254393352164, -81.4254274895529, -81.4254118083585, -81.4253982201225, -81.4253956562142, -81.4253963909437, -81.4254017938588, -81.4254136508353, -81.4254258581956, -81.425428422106, -81.425438295375, -81.4254404862675, -81.4254483098907, 28.0742248528538, 28.0742217174297, 28.0742168916584, 28.0742155371769, 28.0742157730561, 28.0742081758816, 28.0741957170222, 28.074183858069, 28.0741800962121, 28.074182986371, 28.0741905835455, 28.0741931737501, 28.0742112941692, 
28.0742248528538))",18.86,NA,NA
DSNY.00201Z,DSNY_003,DSNY,PIEL,Physically damaged,1.05,50.97,48.8,4.61,1.52,1.56,31.84,31.4,369.2,0.398,"list(c(-81.4254483098907, -81.4254393352164, -81.4254274895529, -81.4254118083585, -81.4253982201225, -81.4253956562142, -81.4253963909437, -81.4254017938588, -81.4254136508353, -81.4254258581956, -81.425428422106, -81.425438295375, -81.4254404862675, -81.4254483098907, 28.0742248528538, 28.0742217174297, 28.0742168916584, 28.0742155371769, 28.0742157730561, 28.0742081758816, 28.0741957170222, 28.074183858069, 28.0741800962121, 28.074182986371, 28.0741905835455, 28.0741931737501, 28.0742112941692, 
28.0742248528538))",18.86,NA,NA
DSNY.03005Z,DSNY_003,DSNY,SERE2,OK,1.29,49.99,38.8,5.41,1.21,1.93,18.72,40.94,175.6,0.423,"list(c(-81.4256082603233, -81.4255950771353, -81.4255875266595, -81.4255801739843, -81.4255835498422, -81.4255878129945, -81.4256011167448, -81.425615888025, -81.4256187477178, -81.4256082603233, 28.0741278034496, 28.0741386625837, 28.0741449599745, 28.0741374081081, 28.0741193423645, 28.0741093190315, 28.0740978146918, 28.0741083020041, 28.0741185799801, 28.0741278034496))",18.85,NA,NA
DSNY.03006Z,DSNY_003,DSNY,LYLU3,OK,1.35,52.26,38.7,4.44,1.02,1.64,21.8,20.9,70.6,0.309,"list(c(-81.4254902841316, -81.4254745483275, -81.4254758745668, -81.4254908982782, -81.4254902841316, 28.0741238744002, 28.0741185487126, 28.0741114514571, 28.0741120607414, 28.0741238744002))",18.85,NA,NA
DSNY.00193,DSNY_010,DSNY,PIPA2,Disease damaged,0.72,50.14,69.7,4.22,1.14,1.38,17.89,29.71,311.2,0.393,"list(c(-81.4351358138736, -81.435156283286, -81.4351696692772, -81.4351756132961, -81.4351701991406, -81.4351569844527, -81.4351504627615, -81.4351428175992, -81.4351395487819, -81.435134985189, -81.4351241887372, -81.435109679266, -81.4351068008801, -81.4350923930075, -81.4350804033824, -81.435074919509, -81.4350695372352, -81.435066113068, -81.4350797022506, -81.4350870585777, -81.4351051097516, -81.4351179499476, -81.4351358138736, 28.1185993796219, 28.1185958504378, 28.1186037242572, 28.1186116690554, 
28.1186273902814, 28.1186318504606, 28.1186402475483, 28.1186546564681, 28.1186655229954, 28.1186700673587, 28.1186748378648, 28.1186729758742, 28.1186685024883, 28.1186594715254, 28.1186507508929, 28.1186469691452, 28.1186360184266, 28.1186212149853, 28.1186147508721, 28.1186085128983, 28.118604673391, 28.1186022171618, 28.1185993796219))",19.97,31.5,17.4
DSNY.01175,DSNY_005,DSNY,LYLU3,OK,0.6,53.71,89.7,4.1,1.24,1.62,22.93,28.11,177,0.517,"list(c(-81.3933985960817, -81.3934271470157, -81.3934414119587, -81.3934321168273, -81.3934189328103, -81.3934027732927, -81.3933829134954, -81.3933792958378, -81.3933904941064, -81.3933986342612, -81.3933985960817, 28.0397168013827, 28.0397132105449, 28.0397348765494, 28.0397462362455, 28.0397570947859, 28.0397583169487, 28.0397537748712, 28.0397348028108, 28.0397302976077, 28.0397293638492, 28.0397168013827))",19.47,NA,1.3
DSNY.02228,DSNY_005,DSNY,QUGE2,OK,1.18,50.84,43.2,13.44,3.41,3.99,29.06,31.06,284.6,0.571,"list(c(-81.3933491785534, -81.393322198014, -81.3933130003312, -81.3933235564317, -81.3933488224436, -81.3933595226886, -81.3933464064923, -81.3933491785534, 28.0396403750871, 28.0396355762706, 28.0396251380348, 28.0396112971484, 28.0396039783872, 28.039610644712, 28.0396168855212, 28.0396403750871))",19.34,NA,1.4
DSNY.01138,DSNY_005,DSNY,QUMY,Disease damaged,1.3,51.28,39.3,12.08,3.18,3.21,26.29,23.85,149.5,0.583,"list(c(-81.3932273709222, -81.393215515678, -81.3932065447703, -81.3932051926687, -81.3932199322464, -81.3932318404699, -81.3932273709222, 28.0396570630136, 28.0396608226131, 28.0396576837555, 28.0396436301079, 28.0396329720524, 28.0396331848234, 28.0396570630136))",19.34,NA,1.1
DSNY.01120Z,DSNY_008,DSNY,PIEL,OK,0.79,51.19,64.8,5.85,1.91,1.2,20.35,24.34,320.3,0.465,"list(c(-81.4019078828108, -81.4019155074458, -81.4019211736445, -81.4019234856051, -81.4019216101585, -81.4019265261804, -81.4019338587193, -81.4019309625598, -81.4019210043941, -81.4019097549793, -81.401901672261, -81.4018947978016, -81.4018848612038, -81.4018815285333, -81.4018816330918, -81.401884341711, -81.4018880710421, -81.401896070768, -81.4019078828108, 28.0466335468952, 28.0466324756098, 28.046635258461, 28.0466427422858, 28.0466527666203, 28.0466595592047, 28.0466666629821, 28.0466755292859, 
28.0466824595755, 28.0466830640706, 28.0466799700253, 28.0466770315765, 28.0466706190359, 28.0466619771805, 28.0466548045499, 28.04664694068, 28.0466402348405, 28.0466371586895, 28.0466335468952))",18.98,NA,NA
DSNY.00629,DSNY_007,DSNY,QUGE2,Other damage,1.59,49.3,31,15.02,4.05,4.02,23,23.21,165.9,0.526,"list(c(-81.417546943676, -81.417541112427, -81.4175251932577, -81.4175190488942, -81.4175232580198, -81.4175326709939, -81.4175468595972, -81.417554168007, -81.4175608855492, -81.417574175673, -81.4175834436821, -81.4175742177167, -81.4175734940673, -81.4175578703404, -81.4175450626467, -81.4175419390026, -81.4175521718801, -81.4175521597042, -81.4175418062169, -81.417546943676, 28.0530721502057, 28.0530905634918, 28.0530904983118, 28.0530764919087, 28.0530624956084, 28.0530504902587, 28.0530470288237, 
28.053042021623, 28.0530316519863, 28.0530287357865, 28.0530345535067, 28.0530412964785, 28.0530451682263, 28.0530477842683, 28.053048119301, 28.0530563079819, 28.0530569633743, 28.0530655522653, 28.0530655421641, 28.0530721502057))",17.55,50.7,12.9
DSNY.00233,DSNY_002,DSNY,ILGL,OK,0.81,53.63,66,5.82,2.09,3.37,14.3,16.73,165.7,0.475,"list(c(-81.4169236928069, -81.4169133398179, -81.4169143711074, -81.4169064722134, -81.4169061226356, -81.4169226982508, -81.4169236928069, 28.0482270132442, 28.0482270030857, 28.0482172233686, 28.048216868079, 28.048210214854, 28.0482110254928, 28.0482270132442))",17.67,NA,NA
DSNY.02365Z,DSNY_002,DSNY,SERE2,OK,1.07,49.04,45.7,9.33,2.34,3.56,17.29,37.66,199.4,0.446,"list(c(-81.4168024037624, -81.4168029526311, -81.4168118705791, -81.4168110682373, -81.4167929369437, -81.416792587375, -81.4168024037624, 28.0483006219948, 28.048293423522, 28.048292588259, 28.0483096665057, 28.0483086557295, 28.0483020025064, 28.0483006219948))",17.61,NA,NA
GUAN.04354,GUAN_008,GUAN,PIAC,OK,2.5,47.12,18.8,12.22,3.25,3.33,10.08,15.92,92.4,0.373,"list(c(-66.8319473615448, -66.8319507718356, -66.8319590652435, -66.8319629816119, -66.831958828515, -66.8319556628857, -66.8319551607752, -66.8319493316262, -66.8319445688558, -66.8319398682422, -66.8319325248283, -66.831928367764, -66.8319259242234, -66.8319250945765, -66.831926505247, -66.8319280569843, -66.8319288826678, -66.8319311811772, -66.8319352760839, -66.8319389477896, -66.8319446980267, -66.8319473615448, 17.965835747296, 17.9658372831883, 17.9658403347349, 17.9658463241527, 17.9658545827454, 
17.9658598061543, 17.9658658562836, 17.9658702529713, 17.9658668651393, 17.9658677930458, 17.9658693328104, 17.9658670877464, 17.9658610780911, 17.9658546146011, 17.9658502786252, 17.9658455090515, 17.965841468886, 17.9658374084835, 17.9658353378082, 17.9658345679258, 17.965834920575, 17.965835747296))",66.97,6.5,NA
GUAN.08856Z,GUAN_008,GUAN,CODI8,OK,1.47,46.51,31.6,10.96,2.67,2.99,19.46,20.91,129.1,0.462,"list(c(-66.8320741974271, -66.8320643854497, -66.8320589884616, -66.8320625797009, -66.8320710505508, -66.8320803451481, -66.8320889742488, -66.8320988389752, -66.8321106048245, -66.832113435202, -66.8321109740908, -66.8321009612438, -66.8320810309128, -66.8320768167957, -66.8320741974271, 17.9658803323532, 17.9658760715496, 17.965865889228, 17.9658548507876, 17.9658441115958, 17.9658384893261, 17.9658387370498, 17.9658466601575, 17.965856388654, 17.9658706355772, 17.9658820247913, 17.9658898547508, 
17.9658860992974, 17.9658799300557, 17.9658803323532))",65.92,NA,NA
GUAN.02699,GUAN_042,GUAN,GUSA,OK,2.89,48.75,16.9,13.48,3.42,3.82,11,17.83,136.6,0.46,"list(c(-66.8641275049003, -66.8641005256724, -66.8641099690951, -66.8641235710638, -66.8641448004067, -66.8641405602252, -66.8641275049003, 17.9707491721696, 17.9707383948458, 17.970722011641, 17.9707181821168, 17.9707263723779, 17.9707419547443, 17.9707491721696))",146.39,16.2,5.2
