individualID,plotID,siteID,taxonID,plntStt,ntrgnPr,crbnPrc,CNratio,extrCAC,extrCBC,extrcCC,lgnnPrc,clllsPr,lfMssPA,dryMssF,geometry,elevation,stemDiameter,height
NIWO.01972,NIWO_001,NIWO,PICOL,OK,0.9,51.5,71.2,21.158,7.592,4.044,18.51,16.8,311.651848,0.456164384,"list(c(-105.559029556302, -105.559033845317, -105.559034439488, -105.559033859155, -105.559029636475, -105.559025057292, -105.559021177277, -105.559019586853, -105.559018873849, -105.5590195136, -105.559023386696, -105.55903043372, -105.559029556302, 40.0422577194496, 40.0422586358674, 40.0422626346311, 40.0422667143123, 40.0422702369933, 40.0422713604159, 40.0422692039101, 40.0422664856929, 40.0422616871764, 40.0422580073716, 40.0422561246551, 40.0422556391502, 40.0422577194496))",3213.49,15.8,6.3
NIWO.01992,NIWO_001,NIWO,PIEN,OK,0.75,50.7,87.85,21.004,7.039,5.081,19.77,16.58,369.902355,0.504306969,"list(c(-105.558881057518, -105.558876880425, -105.558876517019, -105.558883787895, -105.558893005685, -105.55890217788, -105.558903418712, -105.55890207978, -105.558894095908, -105.558888401631, -105.558884759283, -105.558881057518, 40.0423123868798, 40.0423082309879, 40.0423017925071, 40.0422948280708, 40.0422929811111, 40.0422988127189, 40.0423031709013, 40.042310130633, 40.0423122965533, 40.0423139007642, 40.0423133437602, 40.0423123868798))",3213.49,12.4,7.4
NIWO.01100,NIWO_002,NIWO,PICOL,OK,0.99,51.8,63.9,16.933,6.978,4.081,22.61,17.45,307.852314,0.475120385,"list(c(-105.546962060216, -105.546966289612, -105.54696817311, -105.546968235533, -105.54696650655, -105.546962956492, -105.546957700958, -105.546956321856, -105.546952709375, -105.54694736483, -105.546944748817, -105.546943716516, -105.546944650562, -105.546946234275, -105.546951225856, -105.546955102289, -105.546962060216, 40.0411232394946, 40.0411237563994, 40.0411264545333, 40.0411288740112, 40.0411312147723, 40.0411332768772, 40.041133840485, 40.0411345413224, 40.0411341839492, 40.0411341477381, 
40.0411325099127, 40.0411295512277, 40.0411258512978, 40.0411245304382, 40.0411241869742, 40.0411243242041, 40.0411232394946))",3057.5,19.3,11.9
NIWO.01098,NIWO_002,NIWO,PIEN,OK,0.79,49.1,79.6,20.981,6.982,4.552,20.87,17.57,370.420624,0.522988506,"list(c(-105.546952659676, -105.546951806938, -105.546951878033, -105.546953240758, -105.546954486342, -105.54695568742, -105.546957739695, -105.546960380756, -105.54696386126, -105.546965683876, -105.546966788812, -105.546966791894, -105.546966971457, -105.54696588752, -105.546963554917, -105.546959973648, -105.546956875777, -105.546954761079, -105.546953218791, -105.546952659676, 40.0411208566176, 40.041120107369, 40.041118587619, 40.0411167770124, 40.0411151764472, 40.0411132759727, 40.0411111149474, 
40.0411099233139, 40.0411103907585, 40.0411116792141, 40.0411141279484, 40.0411161475472, 40.0411183569836, 40.0411200474167, 40.0411213188163, 40.0411221711822, 40.0411222833523, 40.0411220248998, 40.0411216260699, 40.0411208566176))",3057.5,10.5,8.5
NIWO.01098,NIWO_002,NIWO,PIEN,OK,0.79,49.1,79.6,20.981,6.982,4.552,20.87,17.57,370.420624,0.522988506,"list(c(-105.546949962355, -105.546946320204, -105.546944525718, -105.546944638237, -105.546945984587, -105.546950738805, -105.546952708232, -105.546954618318, -105.546957702894, -105.546961196692, -105.546964779502, -105.54696522764, -105.546961558901, -105.546959533214, -105.546956039415, -105.546949962355, 40.0411236679707, 40.0411231106579, 40.0411210123422, 40.0411177729026, 40.0411148525269, 40.0411129095468, 40.0411141879007, 40.0411150663755, 40.0411158640353, 40.0411154216503, 40.0411155790836, 
40.041120597775, 40.0411218601219, 40.0411222014879, 40.0411226438729, 40.0411236679707))",3057.5,10.5,8.5
NIWO.01129,NIWO_003,NIWO,DAFRF,OK,2.15,48.5,25.2,49.468,12.505,14.519,7.9,12.82,97.416974,0.671755725,"list(c(-105.565042924936, -105.565042025138, -105.565018538044, -105.565016892275, -105.565030090277, -105.565031510619, -105.565042924936, 40.0511926097365, 40.051210293101, 40.0512105770779, 40.0512021468368, 40.0512012371206, 40.0511923285474, 40.0511926097365))",3494.87,1.5,0.2
NIWO.01201,NIWO_004,NIWO,ABLAL,OK,1.09,51,56.4,24.176,7.766,5.5,18.4,14.36,297.595841,0.516930023,"list(c(-105.581424855422, -105.58142993306, -105.581427978077, -105.581422765172, -105.581420652957, -105.581417559589, -105.581410586696, -105.581406707173, -105.581401943997, -105.581400955523, -105.581400948203, -105.58140037169, -105.581400881151, -105.581402319355, -105.581406191556, -105.581410220988, -105.581420968578, -105.58142454096, -105.581424855422, 40.042963455808, 40.0429695042743, 40.0429739053535, 40.0429774648954, 40.0429808103137, 40.0429845789933, 40.0429868380487, 40.0429853284245, 
40.042981391279, 40.0429782599839, 40.0429747054277, 40.0429708346716, 40.0429672444281, 40.0429628790365, 40.0429608341045, 40.0429598448332, 40.0429583916278, 40.0429613444866, 40.042963455808))",3310.78,24,8.6
NIWO.01208,NIWO_004,NIWO,PIEN,OK,0.78,49.9,81.6,16.808,5.472,4.702,17.18,16.77,472.166331,0.526551982,"list(c(-105.581409939641, -105.581410456423, -105.58141372899, -105.581413893542, -105.581413436492, -105.581411481504, -105.581409212054, -105.581405699398, -105.581402081921, -105.581399445599, -105.581395154109, -105.581391843774, -105.581391162441, -105.58139109539, -105.581391911994, -105.581394076623, -105.581396450894, -105.581397844009, -105.581402442639, -105.581409939641, 40.0430490963118, 40.0430490606246, 40.0430570112741, 40.0430616214907, 40.0430655636207, 40.0430699646992, 40.0430722544564, 
40.0430732080404, 40.0430734578506, 40.0430732843995, 40.043072514236, 40.0430713208112, 40.0430667462817, 40.043059285283, 40.0430542518052, 40.0430512582745, 40.0430496722912, 40.0430485095691, 40.0430478364978, 40.0430490963118))",3312.51,30.6,10.8
NIWO.01205,NIWO_004,NIWO,PIFL2,OK,0.84,52.1,77.9,29.978,10.256,5.618,13.58,15.66,374.390784,0.486191024,"list(c(-105.581425303992, -105.581429640564, -105.581436665865, -105.581443953218, -105.581451966994, -105.581461021658, -105.581463148519, -105.581458107495, -105.581455688141, -105.581452804415, -105.58144795106, -105.581442888062, -105.581432237962, -105.58142396213, -105.581419303772, -105.581416352991, -105.581416293259, -105.581416285938, -105.581421498844, -105.581422884636, -105.581425303992, 40.0429804891285, 40.0429780566218, 40.0429761494523, 40.0429760017169, 40.0429772258414, 40.0429819331469, 
40.0429856968405, 40.0429974211568, 40.0430022098105, 40.0430073860383, 40.043009854233, 40.04301091488, 40.0430095173046, 40.0430065337445, 40.0430033003735, 40.0430010156012, 40.0429971091582, 40.0429935546019, 40.0429899950604, 40.0429852777817, 40.0429804891285))",3312.51,31.4,6.2
NIWO.01512,NIWO_007,NIWO,ABLAL,OK,1.36,51,43.7,39.559,13.332,8.327,20.08,14.1,291.032149,0.517552658,"list(c(-105.562126337028, -105.562130634191, -105.562130385204, -105.562125845312, -105.562120677809, -105.562117368104, -105.562112037441, -105.562111462132, -105.562112796921, -105.562114033367, -105.562117081567, -105.56212183692, -105.562126337028, 40.0377198176398, 40.0377241429786, 40.0377294926518, 40.0377340715634, 40.0377344277213, 40.0377332338316, 40.037728979724, 40.0377251088667, 40.037720039858, 40.037717821634, 40.0377172560433, 40.0377176392934, 40.0377198176398))",3171.29,11.6,8.1
